casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
9983,2,1,2,9,2,0,0,0,0,0,1,1,4
9984,1,3,1,11,2,5,9,0,0,0,0,1,2
9985,1,3,1,3,3,5,3,0,0,0,0,1,2
9986,1,1,2,6,3,0,0,0,0,0,9,1,3
9987,1,1,2,10,3,0,0,0,0,0,9,1,5
9988,1,2,2,10,3,0,0,1,0,0,9,1,5
9989,2,1,1,8,3,0,0,0,0,0,9,1,7
9990,2,2,2,7,2,0,0,1,0,0,9,1,5
9991,2,2,2,2,3,0,0,9,0,0,9,3,4
9992,1,1,1,6,2,0,0,0,0,0,97,2,4
9993,2,1,1,5,2,0,0,0,0,0,90,1,1
9994,1,1,2,6,3,0,0,0,0,0,9,3,8
9995,1,2,1,1,3,0,0,1,0,0,9,3,8
9996,2,1,1,10,2,0,0,0,0,0,1,1,6
9997,1,2,2,7,2,0,0,2,0,0,8,2,6
9998,1,2,1,4,3,0,0,2,0,0,9,9,11
9999,1,3,1,2,3,5,4,0,0,0,0,1,3
10000,1,1,1,3,3,0,0,0,0,0,90,1,5
10001,2,2,1,2,3,0,0,2,0,0,9,9,11
10002,2,2,1,2,2,0,0,2,0,0,9,9,11
10003,1,1,2,4,3,0,0,0,0,0,9,1,1
10004,2,1,1,7,3,0,0,0,0,0,1,1,9
10005,1,1,2,6,3,0,0,0,0,0,9,1,7
10006,2,1,2,7,3,0,0,0,0,0,9,1,6
10007,1,3,2,10,3,6,9,0,0,0,0,1,7
10008,2,2,2,7,3,0,0,1,0,0,9,1,2
10009,2,1,2,7,2,0,0,0,0,0,1,9,11
10010,1,3,1,3,3,8,3,0,0,0,0,9,11
10011,1,1,1,9,3,0,0,0,0,0,97,1,1
10012,2,1,1,6,3,0,0,0,0,0,1,1,3
10013,1,1,1,6,3,0,0,0,0,0,9,1,2
10014,1,3,2,11,3,5,1,0,0,0,0,9,11
10015,1,1,1,8,3,0,0,0,0,0,9,1,1
10016,2,3,1,6,3,9,9,0,0,0,0,3,3
10017,2,1,1,7,2,0,0,0,0,0,1,9,11
10018,1,1,2,8,3,0,0,0,0,0,9,2,4
10019,1,2,1,7,3,0,0,2,0,0,8,1,1
10020,2,2,2,6,3,0,0,1,0,0,9,9,11
10021,1,1,1,7,3,0,0,0,0,0,9,9,11
10022,1,1,1,9,3,0,0,0,0,0,9,1,6
10023,1,1,1,10,2,0,0,0,0,0,9,1,9
10024,1,2,2,10,3,0,0,1,0,0,9,1,9
10025,1,2,1,3,3,0,0,2,0,0,9,1,7
10026,1,2,2,3,3,0,0,2,0,0,9,1,7
10027,2,1,1,8,3,0,0,0,0,0,9,1,1
10028,1,2,2,10,3,0,0,0,3,0,11,1,4
10029,2,1,2,6,3,0,0,0,0,0,3,1,6
10030,1,1,1,8,3,0,0,0,0,0,9,1,3
10031,1,1,1,4,3,0,0,0,0,0,3,1,7
10032,1,1,1,5,3,0,0,0,0,0,1,1,3
10033,1,2,2,10,3,0,0,0,3,0,11,1,5
10034,1,1,1,7,3,0,0,0,0,0,9,1,7
10035,1,1,1,5,3,0,0,0,0,0,3,1,8
10036,1,3,2,11,3,8,1,0,0,0,0,1,7
10037,2,1,1,7,2,0,0,0,0,0,3,1,3
10038,1,1,1,8,3,0,0,0,0,0,8,1,3
10039,2,1,1,5,3,0,0,0,0,0,3,1,6
10040,1,3,2,9,3,1,1,0,0,0,0,1,4
10041,1,2,9,6,3,0,0,0,0,0,90,1,4
10042,1,2,2,6,3,0,0,0,0,0,19,1,5
10043,1,1,1,7,3,0,0,0,0,0,19,9,11
10044,1,1,2,5,3,0,0,0,0,0,9,1,2
10045,1,1,1,6,3,0,0,0,0,0,3,1,3
10046,1,1,1,7,3,0,0,0,0,0,3,1,2
10047,1,2,9,7,3,0,0,2,0,0,8,9,11
10048,1,3,1,8,2,5,1,0,0,0,0,1,2
10049,1,1,1,8,3,0,0,0,0,0,19,1,9
10050,1,1,1,9,3,0,0,0,0,0,5,1,8
10051,1,1,1,8,3,0,0,0,0,0,5,1,10
10052,2,1,1,6,3,0,0,0,0,0,90,1,4
10053,1,3,1,5,2,6,9,0,0,0,0,1,2
10054,1,1,1,7,3,0,0,0,0,0,3,1,7
10055,1,3,2,8,3,10,9,0,0,0,0,1,7
10056,1,1,1,4,3,0,0,0,0,0,1,1,9
10057,1,3,1,4,3,4,1,0,0,0,0,1,1
10058,1,1,2,7,3,0,0,0,0,0,9,1,7
10059,1,3,1,7,3,6,9,0,0,0,0,1,3
10060,1,3,2,7,3,9,7,0,0,0,0,1,3
10061,1,1,1,5,3,0,0,0,0,0,9,1,5
10062,2,2,2,1,3,0,0,2,0,0,8,1,4
10063,2,2,1,2,3,0,0,2,0,0,8,1,4
10064,1,1,2,9,3,0,0,0,0,0,9,9,11
10065,3,1,1,6,2,0,0,0,0,0,9,9,11
10066,1,3,2,10,3,6,9,0,0,0,0,1,9
10067,3,1,2,9,3,0,0,0,0,0,9,1,6
10068,1,1,1,9,3,0,0,0,0,0,4,1,9
10069,2,1,2,8,3,0,0,0,0,0,1,1,9
10070,1,1,1,5,3,0,0,0,0,0,4,1,3
10071,1,1,1,7,3,0,0,0,0,0,9,1,3
10072,1,3,2,9,3,4,4,0,0,0,0,1,4
10073,2,1,2,6,3,0,0,0,0,0,1,1,1
10074,2,1,2,7,3,0,0,0,0,0,9,1,1
10075,2,2,2,7,3,0,0,1,0,0,9,1,1
10076,2,1,2,6,2,0,0,0,0,0,9,1,8
10077,1,1,1,11,3,0,0,0,0,0,9,1,6
10078,2,1,2,10,3,0,0,0,0,0,9,1,4
10079,1,1,1,5,3,0,0,0,0,0,1,1,2
10080,2,1,1,10,2,0,0,0,0,0,1,1,8
10081,1,3,2,3,3,5,2,0,0,0,0,1,1
10082,2,1,1,7,3,0,0,0,0,0,1,1,1
10083,1,3,1,5,3,1,1,0,0,0,0,1,2
10084,2,1,1,8,3,0,0,0,0,0,5,1,4
10085,1,1,1,6,3,0,0,0,0,0,9,1,4
10086,2,1,1,8,3,0,0,0,0,0,9,1,4
10087,2,2,1,2,3,0,0,2,0,0,9,1,4
10088,2,1,1,7,2,0,0,0,0,0,3,1,1
10089,2,1,1,5,3,0,0,0,0,0,3,1,1
10090,1,3,1,6,3,5,9,0,0,0,0,1,1
10091,2,1,1,7,2,0,0,0,0,0,1,1,4
10092,1,2,2,1,3,0,0,1,0,0,9,9,11
10093,2,1,2,6,3,0,0,0,0,0,9,1,5
10094,2,2,2,8,3,0,0,1,0,0,9,1,1
10095,2,1,1,10,2,0,0,0,0,0,1,1,6
10096,1,1,2,6,3,0,0,0,0,0,9,1,1
10097,2,1,2,6,3,0,0,0,0,0,9,1,1
10098,2,1,1,3,2,0,0,0,0,0,1,1,5
10099,2,1,2,7,3,0,0,0,0,0,1,1,1
10100,1,2,2,10,3,0,0,1,0,0,9,1,3
10101,2,1,1,4,3,0,0,0,0,0,1,1,1
